Recipient County,Recipient State,Funder State,Funding Type1,Impact Area,Topic,Recipient Zipcode,Award Amount,Number of Records
Franklin County,MO,DC,Federal Government,Basic Needs,Food Security,63060,"$73,275",1
Franklin County,MO,DC,Federal Government,Basic Needs,Food Security,63069,"$786,601",1
Franklin County,MO,DC,Federal Government,Basic Needs,Food Security,63069,"$276,909",1
Franklin County,MO,DC,Federal Government,Basic Needs,Food Security,63068,"$117,787",1
Franklin County,MO,DC,Federal Government,Basic Needs,Food Security,63077,"$715,682",1
Franklin County,MO,DC,Federal Government,Basic Needs,Food Security,63077,"$300,406",1
Franklin County,MO,DC,Federal Government,Basic Needs,Food Security,63080,"$491,689",1
Franklin County,MO,DC,Federal Government,Basic Needs,Food Security,63080,"$169,739",1
Franklin County,MO,DC,Federal Government,Basic Needs,Food Security,63084,"$679,164",1
Franklin County,MO,DC,Federal Government,Basic Needs,Food Security,63084,"$194,041",1
Franklin County,MO,DC,Federal Government,Basic Needs,Food Security,63090,"$587,049",1
Franklin County,MO,DC,Federal Government,Basic Needs,Food Security,63090,"$129,403",1
Franklin County,MO,DC,Federal Government,Financial Stability,Jobs,63084,"$56,606",1
Franklin County,MO,MO,State Government,Foster Learning,Early Childhood Education,63069,"$571,397",1
Franklin County,MO,DC,Federal Government,Foster Learning,Early Childhood Education,63069,"$83,690",1
Franklin County,MO,MO,State Government,Foster Learning,Early Childhood Education,63077,"$1,491,919",1
Franklin County,MO,DC,Federal Government,Foster Learning,Early Childhood Education,63077,"$218,516",1
Franklin County,MO,MO,State Government,Foster Learning,Early Childhood Education,63080,"$347,029",1
Franklin County,MO,MO,State Government,Foster Learning,Early Childhood Education,63080,"$110,000",1
Franklin County,MO,DC,Federal Government,Foster Learning,Early Childhood Education,63080,"$50,828",1
Franklin County,MO,MO,State Government,Foster Learning,Early Childhood Education,63084,"$532,380",1
Franklin County,MO,MO,State Government,Foster Learning,Early Childhood Education,63084,"$80,000",1
Franklin County,MO,DC,Federal Government,Foster Learning,Early Childhood Education,63084,"$76,949",1
Franklin County,MO,MO,State Government,Foster Learning,Early Childhood Education,63090,"$1,272,273",1
Franklin County,MO,MO,State Government,Foster Learning,Early Childhood Education,63090,"$93,851",1
Franklin County,MO,DC,Federal Government,Foster Learning,Early Childhood Education,63090,"$153,286",1
Franklin County,MO,MO,State Government,Foster Learning,K12 Education and out of school time,63060,"$90,831",1
Franklin County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63060,"$92,553",1
Franklin County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63060,"$133,075",1
Franklin County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63069,"$501,382",1
Franklin County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63069,"$543,313",1
Franklin County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63069,"$88,877",1
Franklin County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63068,"$91,546",1
Franklin County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63068,"$56,344",1
Franklin County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63077,"$511,447",1
Franklin County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63077,"$422,782",1
Franklin County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63077,"$101,548",1
Franklin County,MO,MO,State Government,Foster Learning,K12 Education and out of school time,63080,"$153,617",1
Franklin County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63080,"$432,951",1
Franklin County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63080,"$526,512",1
Franklin County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63080,"$72,978",1
Franklin County,MO,MO,State Government,Foster Learning,K12 Education and out of school time,63084,"$73,747",1
Franklin County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63084,"$587,077",1
Franklin County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63084,"$392,213",1
Franklin County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63084,"$105,826",1
Franklin County,MO,MO,State Government,Foster Learning,K12 Education and out of school time,63090,"$402,786",1
Franklin County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63090,"$1,011,753",1
Franklin County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63090,"$459,392",1
Franklin County,MO,DC,Federal Government,Improve Health,Access to healthcare,63077,"$61,938",1
Franklin County,MO,DC,Federal Government,Improve Health,Access to healthcare,63080,"$84,494",1
Franklin County,MO,DC,Federal Government,Improve Health,Access to healthcare,63084,"$76,558",1
Franklin County,MO,CA,National Philanthropy,Other,Faith,63090,"$98,323",1
Jefferson County,MO,DC,Federal Government,Basic Needs,Crisis Intervention,63050,"$395,295",1
Jefferson County,MO,DC,Federal Government,Basic Needs,Food Security,63019,"$119,032",1
Jefferson County,MO,DC,Federal Government,Basic Needs,Food Security,63020,"$567,646",1
Jefferson County,MO,DC,Federal Government,Basic Needs,Food Security,63020,"$223,752",1
Jefferson County,MO,DC,Federal Government,Basic Needs,Food Security,63020,"$107,686",1
Jefferson County,MO,DC,Federal Government,Basic Needs,Food Security,63048,"$412,313",1
Jefferson County,MO,DC,Federal Government,Basic Needs,Food Security,63048,"$240,001",1
Jefferson County,MO,DC,Federal Government,Basic Needs,Food Security,63028,"$553,515",1
Jefferson County,MO,DC,Federal Government,Basic Needs,Food Security,63028,"$140,740",1
Jefferson County,MO,DC,Federal Government,Basic Needs,Food Security,63010,"$1,561,610",1
Jefferson County,MO,DC,Federal Government,Basic Needs,Food Security,63010,"$581,099",1
Jefferson County,MO,DC,Federal Government,Basic Needs,Food Security,63050,"$144,379",1
Jefferson County,MO,DC,Federal Government,Basic Needs,Food Security,63050,"$556,815",1
Jefferson County,MO,DC,Federal Government,Basic Needs,Food Security,63028,"$150,854",1
Jefferson County,MO,DC,Federal Government,Basic Needs,Food Security,63051,"$1,059,647",1
Jefferson County,MO,DC,Federal Government,Basic Needs,Food Security,63051,"$429,083",1
Jefferson County,MO,DC,Federal Government,Basic Needs,Food Security,63020,"$68,128",1
Jefferson County,MO,DC,Federal Government,Basic Needs,Food Security,63052,"$466,511",1
Jefferson County,MO,DC,Federal Government,Basic Needs,Food Security,63052,"$148,120",1
Jefferson County,MO,DC,Federal Government,Basic Needs,Housing Security,63028,"$69,218",1
Jefferson County,MO,DC,Federal Government,Foster Learning,Early Childhood Education,63020,"$138,368",1
Jefferson County,MO,DC,Federal Government,Foster Learning,Early Childhood Education,63048,"$151,432",1
Jefferson County,MO,DC,Federal Government,Foster Learning,Early Childhood Education,63010,"$498,036",1
Jefferson County,MO,DC,Federal Government,Foster Learning,Early Childhood Education,63051,"$203,873",1
Jefferson County,MO,DC,Federal Government,Foster Learning,Early Childhood Education,63052,"$117,666",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63019,"$134,247",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63019,"$92,256",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63020,"$600,627",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63020,"$656,640",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63020,"$101,843",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63048,"$305,069",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63028,"$491,064",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63028,"$414,194",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63028,"$79,150",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63010,"$2,076,270",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63010,"$1,345,563",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63010,"$369,301",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63050,"$142,282",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63050,"$158,561",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63050,"$704,231",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63050,"$301,786",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63050,"$51,706",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63028,"$175,815",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63028,"$90,783",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63051,"$1,610,942",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63051,"$756,905",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63051,"$190,356",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63020,"$121,267",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63020,"$79,810",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63052,"$377,737",1
Jefferson County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63052,"$76,179",1
Jefferson County,MO,DC,Federal Government,Foster Learning,Post secondary Education,63050,"$989,078",1
Jefferson County,MO,DC,Federal Government,Improve Health,Behavioral Health and Substance Abuse,63052,"$625,000",1
Jefferson County,MO,DC,Federal Government,Improve Health,Access to healthcare,63020,"$75,668",1
Jefferson County,MO,DC,Federal Government,Improve Health,Access to healthcare,63010,"$242,099",1
Jefferson County,MO,DC,Federal Government,Improve Health,Access to healthcare,63050,"$84,739",1
Jefferson County,MO,DC,Federal Government,Improve Health,Access to healthcare,63051,"$119,984",1
Jefferson County,MO,DC,Federal Government,Improve Health,Access to healthcare,63052,"$57,657",1
Jefferson County,MO,DC,Federal Government,Strengthen Communities,Community Building,63050,"$1,074,374",1
Jefferson County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63065,"$250,000",1
Jefferson County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63065,"$924,738",1
Jefferson County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63065,"$518,388",1
Jefferson County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63065,"$105,270",1
Jefferson County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63028,"$151,904",1
Jefferson County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63010,"$284,725",1
Jefferson County,MO,MO,Local Philanthropy,Basic Needs,Transportation,63028,"$200,000",1
Jefferson County,MO,MO,Local Philanthropy,Foster Learning,Post secondary Education,63050,"$54,000",1
Jefferson County,MO,MO,Local Philanthropy,Improve Health,Behavioral Health and Substance Abuse,63028,"$71,286",1
Jefferson County,MO,MO,Local Philanthropy,Strengthen Communities,Services for Individuals with Disabilities,63065,"$99,091",1
Jefferson County,MO,MO,Local Philanthropy,Strengthen Communities,Services for Individuals with Disabilities,63028,"$85,000",1
Jefferson County,MO,MO,Local Philanthropy,Strengthen Communities,Services for Individuals with Disabilities,63028,"$150,000",1
Jefferson County,MO,MO,Local Philanthropy,Improve Health,Physical Health,63028,"$280,445",1
Jefferson County,MO,MO,Local Philanthropy,Improve Health,Physical Health,63050,"$1,000,000",1
Jefferson County,MO,MO,Local Philanthropy,Improve Health,Physical Health,63050,"$104,000",1
Jefferson County,MO,MO,Local Philanthropy,Improve Health,Physical Health,63052,"$55,000",1
Jefferson County,MO,MO,Local Philanthropy,Basic Needs,Transportation,63028,"$100,000",1
Jefferson County,MO,MO,Local Philanthropy,Strengthen Communities,Services for Individuals with Disabilities,63028,"$60,000",1
Jefferson County,MO,MO,State Government,Foster Learning,Early Childhood Education,63048,"$1,033,906",1
Jefferson County,MO,MO,State Government,Foster Learning,Early Childhood Education,63028,"$68,428",1
Jefferson County,MO,MO,State Government,Foster Learning,Early Childhood Education,63010,"$3,405,524",1
Jefferson County,MO,MO,State Government,Foster Learning,Early Childhood Education,63010,"$117,758",1
Jefferson County,MO,MO,State Government,Foster Learning,Early Childhood Education,63050,"$57,057",1
Jefferson County,MO,MO,State Government,Foster Learning,Early Childhood Education,63051,"$1,391,953",1
Jefferson County,MO,MO,State Government,Foster Learning,Early Childhood Education,63051,"$80,876",1
Jefferson County,MO,MO,State Government,Foster Learning,Early Childhood Education,63020,"$80,000",1
Jefferson County,MO,MO,State Government,Foster Learning,Early Childhood Education,63052,"$777,578",1
Jefferson County,MO,MO,State Government,Foster Learning,Early Childhood Education,63052,"$66,053",1
Jefferson County,MO,MO,State Government,Foster Learning,K12 Education and out of school time,63020,"$936,191",1
Jefferson County,MO,MO,State Government,Foster Learning,K12 Education and out of school time,63020,"$129,097",1
Jefferson County,MO,MO,State Government,Foster Learning,K12 Education and out of school time,63010,"$162,323",1
Jefferson County,MO,MO,State Government,Foster Learning,K12 Education and out of school time,63050,"$147,037",1
Jefferson County,MO,MO,State Government,Foster Learning,K12 Education and out of school time,63051,"$116,332",1
Jefferson County,MO,MO,State Government,Foster Learning,K12 Education and out of school time,63052,"$55,229",1
Lincoln County,MO,DC,Federal Government,Basic Needs,Food Security,63379,"$165,447",1
Lincoln County,MO,DC,Federal Government,Basic Needs,Food Security,63343,"$199,209",1
Lincoln County,MO,DC,Federal Government,Basic Needs,Food Security,63343,"$70,098",1
Lincoln County,MO,DC,Federal Government,Basic Needs,Food Security,63377,"$52,646",1
Lincoln County,MO,DC,Federal Government,Basic Needs,Food Security,63379,"$1,116,183",1
Lincoln County,MO,DC,Federal Government,Basic Needs,Food Security,63379,"$326,036",1
Lincoln County,MO,DC,Federal Government,Basic Needs,Food Security,63389,"$332,957",1
Lincoln County,MO,DC,Federal Government,Basic Needs,Food Security,63389,"$107,474",1
Lincoln County,MO,DC,Federal Government,Foster Learning,Early Childhood Education,63379,"$146,353",1
Lincoln County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63343,"$160,318",1
Lincoln County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63343,"$294,409",1
Lincoln County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63343,"$50,055",1
Lincoln County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63377,"$89,151",1
Lincoln County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63379,"$58,907",1
Lincoln County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63379,"$997,695",1
Lincoln County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63379,"$1,078,654",1
Lincoln County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63379,"$64,728",1
Lincoln County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63389,"$308,913",1
Lincoln County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63389,"$510,785",1
Lincoln County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63389,"$51,985",1
Lincoln County,MO,DC,Federal Government,Improve Health,Behavioral Health and Substance Abuse,63379,"$80,210",1
Lincoln County,MO,DC,Federal Government,Improve Health,Behavioral Health and Substance Abuse,63379,"$975,000",1
Lincoln County,MO,DC,Federal Government,Improve Health,Access to healthcare,63379,"$172,670",1
Lincoln County,MO,DC,Federal Government,Improve Health,Access to healthcare,63389,"$95,600",1
Lincoln County,MO,DC,Federal Government,Improve Health,Physical Health,63379,"$71,134",1
Lincoln County,MO,DC,Federal Government,Strengthen Communities,Built Environment,63379,"$150,000",1
Lincoln County,MO,DC,Federal Government,Strengthen Communities,Built Environment,63377,"$149,850",1
Lincoln County,MO,DC,Federal Government,Strengthen Communities,Disaster Preparedness & Response,63343,"$442,858",1
Lincoln County,MO,DC,Federal Government,Strengthen Communities,Disaster Preparedness & Response,63379,"$66,519",1
Lincoln County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63379,"$179,899",1
Lincoln County,MO,MO,Local Philanthropy,Strengthen Communities,Aging & Senior Support,63379,"$149,821",1
Lincoln County,MO,MO,State Government,Foster Learning,Early Childhood Education,63343,"$131,926",1
Lincoln County,MO,MO,State Government,Foster Learning,Early Childhood Education,63379,"$1,254,766",1
Lincoln County,MO,MO,State Government,Foster Learning,Early Childhood Education,63379,"$89,116",1
Lincoln County,MO,MO,State Government,Foster Learning,Early Childhood Education,63389,"$257,530",1
Lincoln County,MO,MO,State Government,Foster Learning,Early Childhood Education,63389,"$54,717",1
Lincoln County,MO,MO,State Government,Foster Learning,K12 Education and out of school time,63343,"$146,179",1
Lincoln County,MO,MO,State Government,Foster Learning,K12 Education and out of school time,63389,"$211,390",1
Lincoln County,MO,MO,State Government,Foster Learning,K12 Education and out of school time,63379,"$731,967",1
St. Charles County,MO,MO,Local Philanthropy,Foster Learning,K12 Education and out of school time,63301,"$50,000",1
St. Charles County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63303,"$76,121",1
St. Charles County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63376,"$156,000",1
St. Charles County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63376,"$1,038,877",1
St. Charles County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63376,"$103,863",1
St. Charles County,MO,MO,Local Government,Foster Learning,K12 Education and out of school time,63301,"$70,560",1
St. Charles County,MO,MO,Local Philanthropy,Foster Learning,K12 Education and out of school time,63301,"$134,493",1
St. Charles County,MO,DC,Federal Government,Strengthen Communities,Community Building,63366,"$245,740",1
St. Charles County,MO,DC,Federal Government,Strengthen Communities,Community Building,63366,"$252,891",1
St. Charles County,MO,DC,Federal Government,Strengthen Communities,Community Building,63301,"$333,137",1
St. Charles County,MO,DC,Federal Government,Strengthen Communities,Community Building,63301,"$324,610",1
St. Charles County,MO,DC,Federal Government,Strengthen Communities,Community Building,63301,"$656,116",1
St. Charles County,MO,DC,Federal Government,Basic Needs,Housing Security,63376,"$67,678",1
St. Charles County,MO,MO,Local Philanthropy,Basic Needs,Housing Security,63376,"$374,946",1
St. Charles County,MO,MO,Local Philanthropy,Basic Needs,Housing Security,63376,"$124,785",1
St. Charles County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63376,"$77,404",1
St. Charles County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63376,"$363,046",1
St. Charles County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63376,"$807,166",1
St. Charles County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63376,"$104,105",1
St. Charles County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63376,"$140,712",1
St. Charles County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63376,"$367,440",1
St. Charles County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63376,"$1,084,109",1
St. Charles County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63376,"$54,758",1
St. Charles County,MO,MO,Local Philanthropy,Strengthen Communities,Services for Individuals with Disabilities,63376,"$201,072",1
St. Charles County,MO,MO,Local Government,Foster Learning,Child Welfare,63301,"$190,655",1
St. Charles County,MO,MO,Local Government,Foster Learning,Child Welfare,63301,"$712,671",1
St. Charles County,MO,MO,Local Government,Foster Learning,Child Welfare,63301,"$126,463",1
St. Charles County,MO,MO,Local Government,Foster Learning,Child Welfare,63301,"$493,940",1
St. Charles County,MO,DC,Federal Government,Financial Stability,Jobs,63301,"$1,372,124",1
St. Charles County,MO,MO,Local Philanthropy,Other,Fundraising,63301,"$81,000",1
,,MO,Local Government,Foster Learning,Child Welfare,,"$82,587",1
,,MO,Local Government,Foster Learning,Child Welfare,,"$435,100",1
St. Charles County,MO,DC,Federal Government,Strengthen Communities,Services for Individuals with Disabilities,63376,"$58,842",1
St. Charles County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63301,"$98,895",1
St. Charles County,MO,MO,Local Philanthropy,Strengthen Communities,Services for Individuals with Disabilities,63301,"$201,545",1
St. Charles County,MO,WI,National Philanthropy,Strengthen Communities,Services for Individuals with Disabilities,63301,"$91,757",1
St. Charles County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63303,"$404,109",1
St. Charles County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63303,"$469,595",1
St. Charles County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63303,"$387,445",1
St. Charles County,MO,MA,National Philanthropy,Other,Faith,63301,"$95,710",1
St. Charles County,MO,MA,National Philanthropy,Other,Faith,63301,"$95,710",1
St. Charles County,MO,MA,National Philanthropy,Other,Faith,63366,"$69,000",1
St. Charles County,MO,DC,Federal Government,Basic Needs,Food Security,63304,"$1,521,031",1
St. Charles County,MO,DC,Federal Government,Basic Needs,Food Security,63304,"$386,447",1
St. Charles County,MO,DC,Federal Government,Foster Learning,Early Childhood Education,63304,"$757,166",1
St. Charles County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63304,"$272,330",1
St. Charles County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63304,"$3,372,215",1
St. Charles County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63304,"$1,326,918",1
St. Charles County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63304,"$61,930",1
St. Charles County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63304,"$473,592",1
St. Charles County,MO,DC,Federal Government,Improve Health,Access to healthcare,63304,"$221,166",1
St. Charles County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63304,"$402,002",1
St. Charles County,MO,MO,State Government,Foster Learning,Early Childhood Education,63304,"$5,169,571",1
St. Charles County,MO,MO,State Government,Foster Learning,Early Childhood Education,63304,"$561,723",1
St. Charles County,MO,MO,State Government,Foster Learning,K12 Education and out of school time,63304,"$3,637,673",1
St. Charles County,MO,DC,Federal Government,Basic Needs,Food Security,63366,"$1,723,033",1
St. Charles County,MO,DC,Federal Government,Basic Needs,Food Security,63366,"$449,036",1
St. Charles County,MO,DC,Federal Government,Foster Learning,Early Childhood Education,63366,"$776,467",1
St. Charles County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63366,"$284,253",1
St. Charles County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63366,"$3,339,751",1
St. Charles County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63366,"$1,364,781",1
St. Charles County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63366,"$109,262",1
St. Charles County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63366,"$298,280",1
St. Charles County,MO,DC,Federal Government,Improve Health,Access to healthcare,63366,"$409,354",1
St. Charles County,MO,MO,State Government,Foster Learning,Early Childhood Education,63366,"$5,301,347",1
St. Charles County,MO,MO,State Government,Foster Learning,Early Childhood Education,63366,"$342,459",1
St. Charles County,MO,MO,State Government,Foster Learning,K12 Education and out of school time,63366,"$2,689,320",1
St. Charles County,MO,MA,National Philanthropy,Other,Faith,63303,"$100,000",1
St. Charles County,MO,DC,Federal Government,Basic Needs,Housing Security,63301,"$66,588",1
St. Charles County,MO,MO,Local Philanthropy,Foster Learning,Post secondary Education,63301,"$52,500",1
St. Charles County,MO,MA,National Philanthropy,Other,Faith,63367,"$59,400",1
St. Charles County,MO,MA,National Philanthropy,Other,Faith,63367,"$59,400",1
St. Charles County,MO,DC,Federal Government,Basic Needs,Food Security,63301,"$242,057",1
St. Charles County,MO,DC,Federal Government,Basic Needs,Food Security,63301,"$83,908",1
St. Charles County,MO,DC,Federal Government,Foster Learning,Early Childhood Education,63301,"$86,141",1
St. Charles County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63301,"$342,966",1
St. Charles County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63301,"$375,256",1
St. Charles County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63301,"$166,204",1
St. Charles County,MO,MO,State Government,Foster Learning,Early Childhood Education,63301,"$588,131",1
St. Charles County,MO,MO,State Government,Foster Learning,Early Childhood Education,63301,"$38,430",1
St. Charles County,MO,MO,State Government,Foster Learning,K12 Education and out of school time,63301,"$144,427",1
St. Charles County,MO,MO,Local Government,Basic Needs,Crisis Intervention,63341,"$95,334",1
St. Charles County,MO,MO,Local Government,Foster Learning,Child Welfare,63301,"$505,239",1
St. Charles County,MO,MO,Local Government,Improve Health,Behavioral Health and Substance Abuse,63301,"$668,848",1
St. Charles County,MO,MO,Local Philanthropy,Improve Health,Behavioral Health and Substance Abuse,63301,"$230,076",1
St. Charles County,MO,WI,National Philanthropy,Foster Learning,K12 Education and out of school time,63303,"$50,000",1
St. Charles County,MO,MO,Local Government,Foster Learning,Child Welfare,63304,"$344,917",1
St. Charles County,MO,MO,State Government,Basic Needs,Housing Security,63304,"$120,000",1
St. Charles County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63303,"$321,530",1
St. Charles County,MO,MO,Local Philanthropy,Strengthen Communities,Services for Individuals with Disabilities,63303,"$99,500",1
St. Charles County,MO,DC,Federal Government,Strengthen Communities,Community Building,63301,"$668,464",1
St. Charles County,MO,DC,Federal Government,Strengthen Communities,Safety,63301,"$65,800",1
St. Charles County,MO,MO,State Government,Strengthen Communities,Safety,63366,"$194,291",1
St. Charles County,MO,MO,Local Government,Strengthen Communities,Safety,63366,"$55,575",1
St. Charles County,MO,MO,Local Government,Strengthen Communities,Safety,63366,"$53,684",1
St. Charles County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63376,"$53,260",1
St. Charles County,MO,DC,Federal Government,Basic Needs,Food Security,63301,"$933,093",1
St. Charles County,MO,DC,Federal Government,Basic Needs,Food Security,63301,"$256,711",1
St. Charles County,MO,DC,Federal Government,Foster Learning,Early Childhood Education,63301,"$147,779",1
St. Charles County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63301,"$1,539,623",1
St. Charles County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63301,"$1,154,207",1
St. Charles County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63301,"$50,623",1
St. Charles County,MO,DC,Federal Government,Foster Learning,K12 Education and out of school time,63301,"$261,140",1
St. Charles County,MO,DC,Federal Government,Improve Health,Access to healthcare,63301,"$161,284",1
St. Charles County,MO,MO,State Government,Foster Learning,Early Childhood Education,63301,"$1,008,571",1
St. Charles County,MO,MO,State Government,Foster Learning,Early Childhood Education,63301,"$81,664",1
St. Charles County,MO,MO,State Government,Foster Learning,Early Childhood Education,63301,"$158,000",1
St. Charles County,MO,MO,State Government,Foster Learning,K12 Education and out of school time,63301,"$205,828",1
St. Charles County,MO,MO,Local Government,Basic Needs,Crisis Intervention,63385,"$62,415",1
St. Charles County,MO,MO,Local Government,Foster Learning,Child Welfare,63385,"$335,201",1
St. Charles County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63385,"$161,198",1
St. Charles County,MO,NY,National Philanthropy,Strengthen Communities,Services for Individuals with Disabilities,63385,"$60,000",1
St. Charles County,MO,MO,Local Government,Improve Health,Behavioral Health and Substance Abuse,63376,"$120,102",1
St. Charles County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63376,"$499,707",1
St. Charles County,MO,MO,Local Government,Strengthen Communities,Services for Individuals with Disabilities,63376,"$65,981",1
St. Charles County,MO,MO,Local Philanthropy,Foster Learning,Early Childhood Education,63376,"$233,906",1
St. Charles County,MO,MO,Local Philanthropy,Strengthen Communities,Services for Individuals with Disabilities,63304,"$50,000",1
